name,release_year,image,platforms
Desert Strike: Return to the Gulf,1992,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/2370498-genesis_desertstrike_2__1_.jpg,"['Amiga', 'Game Boy', 'Game Boy Advance', 'Game Gear', 'Genesis', 'Atari Lynx', 'Sega Master System', 'Super Nintendo Entertainment System', 'PC']"
Breakfree,1995,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/1940/621001-1056454795_00.gif,['PC']
Hyperballoid Deluxe: Survival Pack,2004,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,['PC']
The Chessmaster 2000,1986,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/238/706919-chessmaster_2000.jpg,"['Amiga', 'Amstrad CPC', 'Apple II', 'Atari ST', 'Commodore 64', 'MSX', 'ZX Spectrum', 'PC']"
Bass Avenger,2000,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/238/707238-bass_avenger.jpg,"['Mac', 'PC']"
WWE SmackDown! vs. RAW 2007,2006,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2139899-box_wwesdraw07.png,"['PlayStation Portable', 'PlayStation 2', 'Xbox 360']"
Camelot Warriors,1986,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/238/707280-camelot_warriors_spectrum.jpg,"['Amstrad CPC', 'Commodore 64', 'MSX', 'ZX Spectrum']"
Super Spy Hunter,1991,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/2362280-nes_superspyhunter_eu.jpg,['Nintendo Entertainment System']
Fritz 9: Play Chess,2005,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/238/707365-fritz_9_play_chess.jpg,['PC']
The Real Deal 2,1999,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/238/707495-the_real_deal_2.jpg,['PC']
Gothmog's Lair,1983,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/238/707629-gothmog_s_lair.jpg,['Commodore 64']
Blade & Sword,2003,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/238/707774-blade_and_sword.jpg,['PC']
Premier Manager 98,1998,https://giantbomb1.cbsistatic.com/uploads/scale_small/10/103881/2743212-premier%20manager%2098%20playstation%20uk%20front.jpg,"['PlayStation', 'PC']"
Mary-Kate and Ashley: Sweet 16: Licensed to Drive,2002,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/4647/1242453-sweet.jpg,"['Game Boy Advance', 'PlayStation 2', 'GameCube']"
Kampfgruppe,1985,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/238/709028-kampfgruppe_2.jpg,"['Amiga', 'Apple II', 'Commodore 64', 'Atari 8-bit', 'PC']"
EGA-Roids,1986,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/238/709420-egaroids_000.png,['PC']
Sportfischen Professional,2005,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/238/709520-sportfischen_professional.jpg,['PC']
Metal Slug X: Super Vehicle - 001,1999,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/1614/969857-metal_slug_x_ng_us.jpg,"['PlayStation', 'Neo Geo', 'Arcade', 'Wii Shop', 'PC', 'Android', 'Xbox One', 'Nintendo Switch']"
Aisle,1999,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/238/709534-aisle_by_sam_barlow.jpg,"['Game Boy', 'Apple II', 'ZX Spectrum', 'Mac', 'TRS-80', 'PC', 'iPhone', 'iPad', 'Android', 'Browser', 'Linux']"
Burntime,1993,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/9408/723295-23343_boxshot_1.jpg,"['Amiga', 'PC']"
Land of Legends,2005,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,['PC']
The X-Files Game,1998,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/5294/522345-xfiles_game_cover.jpg,"['Mac', 'PlayStation', 'PC']"
Dragon's Lair,1983,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/3413/213636-dragon_s_lair.jpg,"['Amiga', 'Game Gear', 'Super Nintendo Entertainment System', 'Amstrad CPC', 'Atari ST', 'Commodore 64', 'ZX Spectrum', 'Mac', 'PlayStation 2', 'Nintendo Entertainment System', '3DO', 'CD-i', 'Sega CD', 'Xbox', 'Nintendo DS', 'Game Boy Color', 'Arcade', 'Xbox 360 Games Store', 'PlayStation Network (PS3)', 'PC', 'iPhone', 'DSiWare', 'RDI Halcyon', 'PlayStation Network (PSP)', 'Android']"
Rocky Racers,2002,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/4656/890529-kombat_kars_gameplay.jpg,['PC']
Skramble,1983,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/12222/1355067-temp.jpg,"['Commodore 64', 'VIC-20', 'Dragon 32/64']"
Covert Front: Episode One - All Quiet on Covert Front,2007,https://giantbomb1.cbsistatic.com/uploads/scale_small/3/30196/1802898-front.jpg,['Browser']
BALLOONrain,2006,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/7465/1752260-balloonrain.gif,['PC']
Pogo,1983,https://giantbomb1.cbsistatic.com/uploads/scale_small/4/46130/1405979-pogo_zafichip_.jpg,['ZX Spectrum']
Romantic Encounters at the Dome,1988,https://giantbomb1.cbsistatic.com/uploads/scale_small/10/103881/1796224-re.jpg,"['Amiga', 'PC']"
Drug Watch,1985,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/7465/1720876-111995_drug_watch_zx_spectrum_screenshot_loading_screen.png,['ZX Spectrum']
The Ninja,1986,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/2362961-sms_theninja_2.jpg,"['Sega Master System', 'MSX']"
Slam City with Scottie Pippen,1994,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2958020-box_slamcity.png,"['Sega CD', 'Sega 32X', 'PC']"
Batman Begins,2005,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/1988271-box_bbegins.png,"['Game Boy Advance', 'PlayStation 2', 'GameCube', 'Xbox']"
NATO Commander,1983,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/99029/1838120-natocommand.jpg,"['Apple II', 'Commodore 64', 'Atari 8-bit']"
The Adventures of Death: Episode One - Emo Harvest on the Oregon Trail,2008,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,"['Mac', 'PC']"
FIFA Soccer 07,2006,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2266504-box_fifa07.png,"['Game Boy Advance', 'PlayStation Portable', 'PlayStation 2', 'Xbox 360', 'GameCube', 'Xbox', 'Nintendo DS', 'PC']"
Military Aircraft,2003,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,['PC']
Humvee Assault,2003,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/14761/882251-front_cover.jpg,['PC']
Virtua Fighter 2,1994,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2989514-box_vf2.png,"['Genesis', 'Saturn', 'Arcade', 'Xbox 360 Games Store', 'Wii Shop', 'PlayStation Network (PS3)', 'PC', 'iPhone', 'R-Zone']"
Uru: Ages Beyond Myst,2003,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/11423/593036-urubx.jpg,['PC']
Popeye: Rush for Spinach,2005,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/7900/308033-popeye.jpg,['Game Boy Advance']
Ganbare Goemon Gaiden: Kieta Ougon Kiseru,1990,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/3161/318918-ganbare_goemon_gaiden__kieta_ougon_kiseru_japon.jpg,"['Nintendo Entertainment System', 'Nintendo 3DS eShop']"
RC Revenge Pro,2001,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2985102-box_rcrp.png,['PlayStation 2']
F-Zero: Maximum Velocity,2001,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/1805110-box_fzmv.png,"['Game Boy Advance', 'Nintendo 3DS eShop', 'Wii U']"
Romance of the Three Kingdoms VIII,2001,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2323881-box_rottk8.png,"['PlayStation 2', 'PC']"
Game Box Série Corridas,1994,https://giantbomb1.cbsistatic.com/uploads/scale_small/10/103881/2213655-cover.jpg,['Sega Master System']
The Crackwell Legacy,2007,https://giantbomb1.cbsistatic.com/uploads/scale_small/18/187788/2850657-3538346737-900.j.jpg,['PC']
Final Fantasy XI Online: Treasures of Aht Urhgan,2006,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/4086/201815-tau_box.jpg,"['PlayStation 2', 'Xbox 360', 'PC']"
Star Wars,1991,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/2362258-nes_starwars.jpg,"['Game Boy', 'Game Gear', 'Sega Master System', 'Nintendo Entertainment System']"
Robo Rumble,1998,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/10484/1409911-1555.2.jpg,['PC']
Squarez Deluxe!,1993,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/7465/1720871-10154_squarez_deluxe_dos_screenshot_main_menu.gif,['PC']
Beyblade,2001,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2428379-box_bb.png,['PlayStation']
Nederland,1991,https://giantbomb1.cbsistatic.com/uploads/scale_small/4/44017/2227014-qng_alhambranetherlands.jpg,['PC']
Alexi Lalas International Soccer,1999,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/4576/1331886-slus_00872_f_all.jpg,"['PlayStation', 'PC']"
Nancy Drew: The Final Scene,2001,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/11423/711520-finalscene.jpg,['PC']
NBA Street V3,2005,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2246602-box_nbastr3.png,"['PlayStation 2', 'GameCube', 'Xbox']"
Sid Meier's CivNet,1995,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/8272/1529883-civnet_front.jpg,['PC']
Puyo Pop,2003,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/7439/722751-puyopop.jpg,['N-Gage']
Pac-Man World,1999,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/1795912-box_pacworld.png,"['Game Boy Advance', 'PlayStation', 'PlayStation Network (PS3)']"
Serious Sam,2002,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/1796279-box_ssxbox.png,['Xbox']
Sonic Advance 2,2002,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2098012-box_sonica2.png,['Game Boy Advance']
Tiger Woods PGA Tour 07,2006,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2269431-box_twpgat07.png,"['PlayStation Portable', 'PlayStation 2', 'Xbox 360', 'Xbox', 'PlayStation 3', 'Wii', 'PC']"
Crash Bandicoot: The Wrath of Cortex,2001,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/1881043-box_cbtwoc.png,"['PlayStation 2', 'GameCube', 'Xbox']"
Iridion 3D,2001,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2492911-box_i3d.png,['Game Boy Advance']
7 Colors,1991,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/9408/721685-7045_boxshot_7_colors.jpg,"['Amiga', 'Atari ST', 'PC']"
CubeDrift,2006,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/7465/1736842-cubedriftlogo.png,['PC']
Math Blaster: Episode 1 - In Search of Spot,1994,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/2371206-genesis_mathblasterepisode1.jpg,"['Genesis', 'Super Nintendo Entertainment System', 'Mac', 'PC']"
Steel Panthers III: Brigade Command (1939-1999),1997,https://giantbomb1.cbsistatic.com/uploads/scale_small/10/103881/1796708-spcover.jpg,['PC']
Ancient Egyptian Mehen: The Forbidden Game of the Snake,1998,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/5370/1772372-ancient_egyptian_title.gif,['PC']
Castle Shikigami 2,2003,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2193287-box_cs2.png,"['PlayStation 2', 'GameCube', 'Xbox', 'Dreamcast', 'PlayStation Network (PS3)', 'PC']"
SingStar '80s,2007,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/495/643413-s_20english_box.jpg,['PlayStation 2']
Samurai Jack: The Shadow of Aku,2004,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2207754-box_sjacktsoa.png,"['PlayStation 2', 'GameCube']"
Deflektor,1987,https://giantbomb1.cbsistatic.com/uploads/scale_small/7/73970/3116917-deflektor_amiga_1_1.jpg,"['Amiga', 'Game Boy Advance', 'Amstrad CPC', 'Atari ST', 'Commodore 64', 'ZX Spectrum', 'Sharp X68000', 'NEC PC-8801', 'NEC PC-9801']"
The Archers,1986,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/7465/1720852-940200_89943_front.jpg,"['Amstrad CPC', 'Commodore 64', 'MSX', 'ZX Spectrum', 'Atari 8-bit']"
Ruff and Reddy in the Space Adventure,1990,https://giantbomb1.cbsistatic.com/uploads/scale_small/16/164924/2999465-6664166472-87863.jpg,"['Amiga', 'Amstrad CPC', 'Atari ST', 'Commodore 64', 'ZX Spectrum', 'Atari 8-bit']"
Skydiving Extreme,2001,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2213174-box_sdex.png,['PlayStation']
Saboteur,1985,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/4560/493212-saboteur__encore_.jpg,"['Amstrad CPC', 'Commodore 64', 'ZX Spectrum', 'Commodore 16', 'Nintendo Switch']"
Mensch Ärgere Dich Nicht!,2003,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/4527/1761186-1.jpg,['PC']
Fernandez Must Die,1988,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/1987/887438-fernandez_must_die___front.jpg,"['Amiga', 'Amstrad CPC', 'Atari ST', 'Commodore 64', 'ZX Spectrum']"
Balloon Fight,1984,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/2361146-nes_balloonfight.jpg,"['Game Boy Advance', 'Nintendo Entertainment System', 'Wii Shop', 'NEC PC-8801', 'Sharp X1', 'Nintendo 3DS eShop', 'Wii U', 'Nintendo Switch']"
The Immortal,1990,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/2370641-genesis_immortal.jpg,"['Amiga', 'Genesis', 'Apple II', 'Atari ST', 'Nintendo Entertainment System', 'Apple IIgs', 'PC']"
Arabian Nights,1993,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/3413/274448-arabian_nights_cover.jpg,"['Amiga', 'Amiga CD32']"
Miner 2049er Volume II,1983,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/15568/569440-b_miner2049er2_front.jpg,['Atari 2600']
B-Wings,1984,https://giantbomb1.cbsistatic.com/uploads/scale_small/10/103881/2292933-b_wings_flyer.jpg,"['Nintendo Entertainment System', 'Arcade']"
Thexder 95,1995,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/1561/411148-1120128036_00.png,['PC']
Flying Warriors,1991,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/2361744-nes_flyingwarriors.jpg,"['Nintendo Entertainment System', 'Wii U']"
Power Instinct,1993,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/2579/1717773-power_instinct_1.jpg,"['Genesis', 'Super Nintendo Entertainment System', 'Arcade', 'Wii Shop', 'Wii U']"
Crypt of Medea,1984,https://giantbomb1.cbsistatic.com/uploads/scale_small/6/60173/1477659-filecrypt_of_medea_cover.jpg,['Apple II']
Kao the Kangaroo,2001,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/1803964-box_kao.png,"['Game Boy Advance', 'Dreamcast', 'PC']"
Serious Sam: Next Encounter,2004,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2121657-box_ssne.png,"['PlayStation 2', 'GameCube']"
Hodj 'n' Podj,1995,https://giantbomb1.cbsistatic.com/uploads/scale_small/15/154673/3073873-7309627844-Hodj_.jpg,"['Mac', 'PC']"
ArtRageous!,1995,https://giantbomb1.cbsistatic.com/uploads/scale_small/10/103881/1803050-ar.jpg,"['Mac', 'PC']"
Corsarios,1989,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/7465/1708641-corsarios_01.png,"['Amiga', 'Amstrad CPC', 'Atari ST', 'MSX', 'ZX Spectrum', 'PC']"
Jabbertalky,1980,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,"['Apple II', 'TRS-80', 'PC']"
Area 51,1995,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/3129607-box_a51.png,"['PlayStation', 'Saturn', 'Arcade', 'PC', 'R-Zone']"
America Double Barrel Collection,2002,https://giantbomb1.cbsistatic.com/uploads/scale_small/3/30196/1866724-barrel.jpg,['PC']
Monty on the Run,1985,https://giantbomb1.cbsistatic.com/uploads/scale_small/10/103881/2325640-monty_on_the_run.jpg,"['Amstrad CPC', 'Commodore 64', 'ZX Spectrum', 'Famicom Disk System', 'Commodore 16']"
Dynamite Bowl,1987,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/2453/1500173-dynamiteb_front.jpg,"['MSX', 'Nintendo Entertainment System', 'NEC PC-8801']"
Pilotwings 64,1996,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2267072-box_pw64.png,['Nintendo 64']
Fly Harder,1994,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/3413/277392-fly_harder_cover.jpg,"['Amiga', 'Commodore 64', 'Amiga CD32']"
Choplifter II: Rescue Survive,1991,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/117897/1654191-250px_choplifter2gb.jpg,['Game Boy']
Space Channel 5: Part 2,2002,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/1988280-box_sc5p2.png,"['PlayStation 2', 'Dreamcast', 'Xbox 360 Games Store', 'PlayStation Network (PS3)', 'PC']"
Shock Wave 2: Beyond the Gate,1995,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/2365937-3do_shockwave2.jpg,['3DO']
Heartlight,1990,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/81005/3177419-3614395198-31057.jpg,"['Amiga', 'Atari 8-bit', 'PC', 'iPhone', 'iPad', 'Android']"
Shengnü zhi Ge: Heroine Anthem II: The Angel of Sarem,2003,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/97089/1462000-2_cover.jpg,['PC']
Snowy: Treasure Hunter 3,2007,https://giantbomb1.cbsistatic.com/uploads/scale_small/3/30196/1799504-snow.jpg,['PC']
Söldner-X: Himmelsstürmer,2008,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/2071/334426-image0003_l.jpg,"['PlayStation Network (PS3)', 'PC']"
Nail'N Scale,1992,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/1790522-nail_n_scale__u_.jpg,['Game Boy']
House of the Dead 2 & 3 Return,2008,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/4865/196974-ss.jpg,['Wii']
Illbleed,2001,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2958610-box_illbleed.png,['Dreamcast']
Konami's Boxing,1985,https://giantbomb1.cbsistatic.com/uploads/scale_small/16/164924/2649110-1649284223-56652.jpg,['MSX']
Shining Tears,2005,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2525267-box_stears.png,['PlayStation 2']
Return to Eden,1984,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,"['Amstrad CPC', 'Commodore 64', 'MSX', 'ZX Spectrum', 'Atari 8-bit']"
Cardinal Syn,1998,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2375782-box_csyn.png,['PlayStation']
Elevators Amiss,2007,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/14975/1340863-elevators1.jpg,['Atari 2600']
Army Men Air Combat: The Elite Missions,2003,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/1799333-box_armymenactem.png,['GameCube']
Shadows of Cairn,1994,https://giantbomb1.cbsistatic.com/uploads/scale_small/10/100450/1456284-shadows_of_cairn___title_screen.gif,['PC']
Enraged Rocket House,2008,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/7465/1764982-erh_splash.jpg,['PC']
Goin' Down with the Captain,1995,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/1987/1091454-goin_down_with_the_captain_4.gif,['Atari ST']
Tearaway Thomas,1993,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,['Amiga']
NetHack,1987,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/2891/936463-logo.jpg,"['Amiga', 'Atari ST', 'Mac', 'PC', 'iPhone', 'Android', 'Linux']"
Close Combat: Invasion - Normandy,2000,https://giantbomb1.cbsistatic.com/uploads/scale_small/2/29460/892241-cc5.jpg,['PC']
Once Upon A Time: Little Red Riding Hood,1991,https://giantbomb1.cbsistatic.com/uploads/scale_small/16/164924/2597028-1724607157-once-.png,"['Amiga', 'Atari ST', 'PC']"
David Wolf: Secret Agent,1989,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/15693/1393092-david_wolf_a_front.jpg,['PC']
Dark Sun: Shattered Lands,1995,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/15693/626490-564606_45698_front_1_.jpg,['PC']
Police Quest: In Pursuit of the Death Angel,1987,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/15568/627426-box_pq1.jpg,"['Apple II', 'Atari ST', 'Mac', 'Apple IIgs', 'PC']"
Hero's Puzzle Path,2007,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,['PC']
Captain Planet and the Planeteers,1991,https://giantbomb1.cbsistatic.com/uploads/scale_small/16/164924/3097026-3458366407-48979.jpg,['Nintendo Entertainment System']
Olympic Games: Atlanta 1996,1996,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/46/279562-olympicsummergames1996front.jpg,"['PlayStation', '3DO', 'Saturn', 'PC']"
Police Quest 3: The Kindred,1991,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/7622/647250-pq3.jpg,"['Amiga', 'PC']"
187: Ride or Die,2005,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/1803102-box_187rod.png,"['PlayStation 2', 'Xbox']"
Ultim@te Race Pro,1998,https://giantbomb1.cbsistatic.com/uploads/scale_small/10/105947/1546573-ultimate_race_pro.jpg,['PC']
Laxius Power III,2004,https://giantbomb1.cbsistatic.com/uploads/scale_small/18/187788/3094665-7956290792-Laxiu.jpg,['PC']
Mahjong Hana no Momoko Gumi,1988,https://giantbomb1.cbsistatic.com/uploads/scale_small/16/164924/2964974-8158791976-hanam.jpg,['Arcade']
Ty the Tasmanian Tiger 2: Bush Rescue,2004,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2261154-box_ty2.png,"['Game Boy Advance', 'PlayStation 2', 'GameCube', 'Xbox', 'PC']"
"Simon the Sorcerer II: The Lion, the Wizard and the Wardrobe",1995,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/4938/609058-verpackung24.jpg,"['Amiga', 'Mac', 'PC', 'iPhone', 'Android']"
Summon Night Craft Sword Monogatari: Hajimari no Ishi,2005,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/97089/2523936-box.png,['Game Boy Advance']
NFL Football '94 Starring Joe Montana,1993,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93770/2371285-genesis_nflfootball94.jpg,['Genesis']
Cheerios Play Time,2001,https://giantbomb1.cbsistatic.com/uploads/scale_small/2/29889/1226799-cheerio_game.jpg,"['Mac', 'PC']"
Command & Conquer: Red Alert - Retaliation,1998,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/13692/1353904-command___conquer___red_alert_retaliation__soviets_disc___u___slus_00667__front.jpg,['PlayStation']
Mystic Ark,1995,https://giantbomb1.cbsistatic.com/uploads/scale_small/6/66248/1441935-mystic_ark_front.jpg,['Super Nintendo Entertainment System']
Infiltrator,1986,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/9408/734477-24131_boxshot_1.jpg,"['Amstrad CPC', 'Apple II', 'Commodore 64', 'ZX Spectrum', 'Nintendo Entertainment System', 'Atari 8-bit', 'PC']"
Barbie Sparkling Ice Show,2002,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/15693/1347795-b000068vbf.01.lzzzzzzz.jpg,['PC']
RunMan's Monster Fracas,2005,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/97089/2462450-1.png,['PC']
Hydlide II: Shine of Darkness,1985,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/2453/1531978-hyd2msx_front.jpg,"['MSX', 'PC', 'NEC PC-8801', 'NEC PC-9801', 'Sharp X1', 'FM-7', 'Sharp MZ']"
Far Cry: Instincts - Predator,2006,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2179477-box_fcip.png,"['Xbox 360', 'Xbox 360 Games Store']"
CIMA: The Enemy,2003,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/3005433-box_cima.png,['Game Boy Advance']
The Journeyman Project: Pegasus Prime,1997,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/19013/706784-pegasusprime.jpg,"['Mac', 'PlayStation', 'PC', 'Pippin', 'Linux']"
Clandestiny,1996,https://giantbomb1.cbsistatic.com/uploads/scale_small/12/121765/1688959-clandestiny_coverart.png,['PC']
ArmA: Combat Operations,2007,https://giantbomb1.cbsistatic.com/uploads/scale_small/9/93538/1482040-928493_85303_front.jpg,['PC']
Ghosthunter,2004,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/14761/815853-front_cover.jpg,['PlayStation 2']
"Ed, Edd n Eddy: The Mis-Edventures",2005,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/3014428-box_eenetme.png,"['Game Boy Advance', 'PlayStation 2', 'GameCube', 'Xbox', 'PC']"
Battleground 4: Shiloh,1997,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,['PC']
Ax Battler: A Legend of Golden Axe,1991,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/113010/1723006-axbattler.jpg,['Game Gear']
The Sandbox of God,2004,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,['PC']
Bomb Jack,1983,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/7930/624741-bomb_jack__encore__uk_box_art.jpg,"['Amiga', 'Game Boy', 'Amstrad CPC', 'Atari ST', 'Commodore 64', 'MSX', 'ZX Spectrum', 'Commodore 128', 'Arcade', 'Wii Shop', 'NEC PC-8801', 'GamePark 32', 'Mega Duck', 'Sega SG-1000', 'PlayStation 4', 'Commodore 16', 'Nintendo Switch']"
Stronghold,1993,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/15693/608871-stronghold.jpg,"['PC', 'FM Towns']"
Music Construction Set,1984,https://giantbomb1.cbsistatic.com/uploads/scale_small/7/73970/2628551-music%20construction%20set.jpg,"['Apple II', 'Atari ST', 'Commodore 64', 'Atari 8-bit', 'Apple IIgs', 'PC']"
Taxi Racer,2001,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/7637/1097367-taxiracer.jpg,['PC']
UFO: Alien Invasion,2006,https://giantbomb1.cbsistatic.com/uploads/scale_small/2/23808/1094183-ufo_logo_blood.png,"['Mac', 'PC', 'Linux']"
Toppler,1990,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/913/1364590-perestroika.png,['PC']
